Date,Log-return_x,Log-return_y,Log-return_x,Log-return_y,Log-return
1998-04-30,-0.0066200038869196716,-0.01480541422097113,-0.15208072992478092,0.03373650281690034,0.05594043797899632
1998-05-31,0.0005363167363025348,0.009103967138872725,-0.1768083920981406,0.03374398358806557,-0.015524921255104837
1998-06-30,-0.1025572966851076,-0.043981216698271555,-0.20073838774977895,0.03375122304403192,-0.09082050972701436
1998-07-31,-0.03814399292087921,-0.07726441949011713,-0.22546604992313862,0.03375870381519715,-0.09875904436901049
1998-08-31,0.06779350981997273,-0.02911543547231534,-0.2501937120964983,0.03376618458636238,-0.007070341605841024
1998-09-30,0.0552067133724765,-0.016903178739943087,-0.2741237077481367,0.03377342404232873,-0.05401751762121186
1998-10-31,0.024853777501192394,-0.08493798071044655,-0.29885136992149636,0.03378090481349396,-0.0676852579397278
1998-11-30,0.0029948023601459213,-0.05357820129320961,-0.32278136557313475,0.033788144269460314,-0.024492646520679347
1998-12-31,0.04483236864901138,0.03052314048636643,-0.3475090277464944,0.03379562504062554,0.0324413769720731
1999-01-31,0.020148287994176287,0.048686172778239556,-0.29603364494876394,0.03342711111833871,0.05400133708434057
1999-02-28,0.03925762972954233,-0.011465333297812005,-0.24724546558394223,0.033082939563352044,-0.004222656693311622
1999-03-31,-0.0480981494315893,0.0637250966982995,-0.1932299812871754,0.032701892484616815,0.05222561465092181
1999-04-30,0.012523935815511762,0.05301832751971442,-0.1409569319677236,0.0323331372471311,0.06443830128431224
1999-05-31,-0.012880714175021268,0.03850527013337298,-0.08694144767095674,0.03195209016839587,0.04174239564529647
1999-06-30,0.0017865480290743339,0.011844395965074035,-0.03466839835150498,0.03158333493091016,0.03771744474604832
1999-07-31,-0.03407806829050711,0.04555452665119726,0.019347085945261855,0.031202287852174923,0.04607781081770581
1999-08-31,0.03445440634351213,0.033157068549896335,0.07336257024202869,0.030821240773439687,0.04592423458262443
1999-09-30,0.05260650025254411,-0.0966734947343609,0.1256356195614805,0.030452485535953977,-0.05426972185044356
1999-10-31,0.04936944873909761,0.010209429490924793,0.17965110385824734,0.030071438457218744,0.007946208777530564
1999-11-30,-0.0953651105719992,0.07528812181524654,0.2319241531776991,0.029702683219733034,0.06323264763196124
1999-12-31,-0.008795369306566131,-0.029264538593754524,0.28593963747446594,0.0293216361409978,-0.017918825524461418
2000-01-31,0.04643489912825678,-0.047496444214456104,0.2588115319936374,0.028790452152795066,-0.03551606554337109
2000-02-29,-0.030276569615139054,-0.01057665509725126,0.23090334288409856,0.028288856410740294,-0.010945511773140362
2000-03-31,0.0038148496832952766,0.014500860944991405,0.20107045107735014,0.027752667858888642,-0.0068630261206417496
2000-04-30,-0.006956671918007656,-0.03476161052482355,0.17219991061920653,0.02723377571193543,-0.021762820794039475
2000-05-31,0.00779239471552355,0.004213488796546448,0.1423670188124581,0.026697587160083778,-0.007450863361047328
2000-06-30,0.04586775692410819,0.017086765839300702,0.11349647835431448,0.026178695013130568,0.011505755605089162
2000-07-31,-0.05499086164832294,0.010694297925673897,0.08366358654756606,0.025642506461278913,-0.0012782707160763351
2000-08-31,0.02003700783338535,-0.030581010061470695,0.05383069474081767,0.025106317909427262,-0.025457174458566437
2000-09-30,-0.04477208182572133,-0.02347991921769901,0.024960154282674007,0.024587425762474052,-0.028694606600873057
2000-10-31,0.011050488687379866,-0.03681252238828118,-0.004872737524074355,0.024051237210622398,-0.035076923136823465
2000-11-30,0.012014566163530515,-0.014060111834454329,-0.03374327798221799,0.023532345063669188,-0.01962462557232099
2000-12-31,-0.0597790875196886,-0.004890291285751264,-0.06357616978896641,0.022996156511817537,-0.008103033024418957
2001-01-31,-0.04963311756178687,-0.024892635824709176,-0.06490463212519149,0.023747841316216725,-0.038581004043662055
2001-02-28,0.053667369055673375,0.047822122061618816,-0.0652463357136371,0.024465557111561176,0.010203428637202215
2001-03-31,-0.02625077097772298,0.034044989504911916,-0.06562465040084475,0.02526017102783539,0.03641063397530403
2001-04-30,-0.026947547356699617,0.016080335630343046,-0.06599076138846506,0.02602915223713302,0.021476193027270475
2001-05-31,-0.020514196275564275,0.002100030528227128,-0.0663690760756727,0.026823766153407237,0.0024960404083107374
2001-06-30,-0.03341148127443898,-0.04137259319226031,-0.06673518706329301,0.027592747362704867,-0.04456059143440022
2001-07-31,-0.08454339352938241,-0.0009555010775930475,-0.06711350175050065,0.028387361278979083,-0.030494524123771544
2001-08-31,0.023751628117356358,-0.032000532331243156,-0.06749181643770831,0.0291819751952533,-0.03289525058600834
2001-09-30,0.03185123924185282,-0.04164723159212126,-0.06785792742532862,0.02995095640455093,-0.04039215265349604
2001-10-31,0.0035954187767145845,0.05268031795188975,-0.06823624211253626,0.030745570320825144,0.06601938721406159
2001-11-30,-0.009706789670560923,0.006650196598316387,-0.06860235310015657,0.031514551530122774,0.012113237088737905
2001-12-31,-0.012355649082230727,0.001733025285522083,-0.06898066778736421,0.03230916544639699,0.004221171223295702
2002-01-31,0.03147183824346467,0.05636644334421189,-0.0633222245154213,0.03160554341534946,0.056739043572515614
2002-02-28,-0.018447478843708544,0.004458229046022763,-0.05802962067532638,0.030924905659860287,0.0002611199010475046
2002-03-31,-0.015856372680644392,0.006677463988088774,-0.05216995213807844,0.0301713424305687,-6.11527472548128e-05
2002-04-30,-0.08565993288762801,-0.03145733852566395,-0.046499305166548176,0.029442087692544583,-0.03169682872889114
2002-05-31,-0.09208434421787703,-0.01950894940755463,-0.04063963662930024,0.028688524463253,-0.035830648374351196
