Date,Value
 Feb-2019,0.0085
 Mar-2019,0.0088
 Apr-2019,0.0087
 May-2019,0.008
 Jun-2019,0.0061
 Jul-2019,0.0052
 Aug-2019,0.0035
 Sep-2019,0.004
 Oct-2019,0.004
 Nov-2019,0.0051
 Dec-2019,0.0058
,
,
Note:  ,
,
Page -1 of 1,
