"Date","FTSE","Yield","Inflation","GDP","RF_rate"
"1998-04-30",-0.00662000388691967,-0.0148054142209711,-0.152080729924781,0.0337365028169003,0.0559404379789963
"1998-05-31",0.000536316736302535,0.00910396713887273,-0.176808392098141,0.0337439835880656,-0.0155249212551048
"1998-06-30",-0.102557296685108,-0.0439812166982716,-0.200738387749779,0.0337512230440319,-0.0908205097270144
"1998-07-31",-0.0381439929208792,-0.0772644194901171,-0.225466049923139,0.0337587038151971,-0.0987590443690105
"1998-08-31",0.0677935098199727,-0.0291154354723153,-0.250193712096498,0.0337661845863624,-0.00707034160584102
"1998-09-30",0.0552067133724765,-0.0169031787399431,-0.274123707748137,0.0337734240423287,-0.0540175176212119
"1998-10-31",0.0248537775011924,-0.0849379807104465,-0.298851369921496,0.033780904813494,-0.0676852579397278
"1998-11-30",0.00299480236014592,-0.0535782012932096,-0.322781365573135,0.0337881442694603,-0.0244926465206793
"1998-12-31",0.0448323686490114,0.0305231404863664,-0.347509027746494,0.0337956250406255,0.0324413769720731
"1999-01-31",0.0201482879941763,0.0486861727782396,-0.296033644948764,0.0334271111183387,0.0540013370843406
"1999-02-28",0.0392576297295423,-0.011465333297812,-0.247245465583942,0.033082939563352,-0.00422265669331162
"1999-03-31",-0.0480981494315893,0.0637250966982995,-0.193229981287175,0.0327018924846168,0.0522256146509218
"1999-04-30",0.0125239358155118,0.0530183275197144,-0.140956931967724,0.0323331372471311,0.0644383012843122
"1999-05-31",-0.0128807141750213,0.038505270133373,-0.0869414476709567,0.0319520901683959,0.0417423956452965
"1999-06-30",0.00178654802907433,0.011844395965074,-0.034668398351505,0.0315833349309102,0.0377174447460483
"1999-07-31",-0.0340780682905071,0.0455545266511973,0.0193470859452619,0.0312022878521749,0.0460778108177058
"1999-08-31",0.0344544063435121,0.0331570685498963,0.0733625702420287,0.0308212407734397,0.0459242345826244
"1999-09-30",0.0526065002525441,-0.0966734947343609,0.125635619561481,0.030452485535954,-0.0542697218504436
"1999-10-31",0.0493694487390976,0.0102094294909248,0.179651103858247,0.0300714384572187,0.00794620877753056
"1999-11-30",-0.0953651105719992,0.0752881218152465,0.231924153177699,0.029702683219733,0.0632326476319612
"1999-12-31",-0.00879536930656613,-0.0292645385937545,0.285939637474466,0.0293216361409978,-0.0179188255244614
"2000-01-31",0.0464348991282568,-0.0474964442144561,0.258811531993637,0.0287904521527951,-0.0355160655433711
"2000-02-29",-0.0302765696151391,-0.0105766550972513,0.230903342884099,0.0282888564107403,-0.0109455117731404
"2000-03-31",0.00381484968329528,0.0145008609449914,0.20107045107735,0.0277526678588886,-0.00686302612064175
"2000-04-30",-0.00695667191800766,-0.0347616105248236,0.172199910619207,0.0272337757119354,-0.0217628207940395
"2000-05-31",0.00779239471552355,0.00421348879654645,0.142367018812458,0.0266975871600838,-0.00745086336104733
"2000-06-30",0.0458677569241082,0.0170867658393007,0.113496478354314,0.0261786950131306,0.0115057556050892
"2000-07-31",-0.0549908616483229,0.0106942979256739,0.0836635865475661,0.0256425064612789,-0.00127827071607634
"2000-08-31",0.0200370078333853,-0.0305810100614707,0.0538306947408177,0.0251063179094273,-0.0254571744585664
"2000-09-30",-0.0447720818257213,-0.023479919217699,0.024960154282674,0.0245874257624741,-0.0286946066008731
"2000-10-31",0.0110504886873799,-0.0368125223882812,-0.00487273752407436,0.0240512372106224,-0.0350769231368235
"2000-11-30",0.0120145661635305,-0.0140601118344543,-0.033743277982218,0.0235323450636692,-0.019624625572321
"2000-12-31",-0.0597790875196886,-0.00489029128575126,-0.0635761697889664,0.0229961565118175,-0.00810303302441896
"2001-01-31",-0.0496331175617869,-0.0248926358247092,-0.0649046321251915,0.0237478413162167,-0.0385810040436621
"2001-02-28",0.0536673690556734,0.0478221220616188,-0.0652463357136371,0.0244655571115612,0.0102034286372022
"2001-03-31",-0.026250770977723,0.0340449895049119,-0.0656246504008448,0.0252601710278354,0.036410633975304
"2001-04-30",-0.0269475473566996,0.016080335630343,-0.0659907613884651,0.026029152237133,0.0214761930272705
"2001-05-31",-0.0205141962755643,0.00210003052822713,-0.0663690760756727,0.0268237661534072,0.00249604040831074
"2001-06-30",-0.033411481274439,-0.0413725931922603,-0.066735187063293,0.0275927473627049,-0.0445605914344002
"2001-07-31",-0.0845433935293824,-0.000955501077593048,-0.0671135017505007,0.0283873612789791,-0.0304945241237715
"2001-08-31",0.0237516281173564,-0.0320005323312432,-0.0674918164377083,0.0291819751952533,-0.0328952505860083
"2001-09-30",0.0318512392418528,-0.0416472315921213,-0.0678579274253286,0.0299509564045509,-0.040392152653496
"2001-10-31",0.00359541877671458,0.0526803179518898,-0.0682362421125363,0.0307455703208251,0.0660193872140616
"2001-11-30",-0.00970678967056092,0.00665019659831639,-0.0686023531001566,0.0315145515301228,0.0121132370887379
"2001-12-31",-0.0123556490822307,0.00173302528552208,-0.0689806677873642,0.032309165446397,0.0042211712232957
"2002-01-31",0.0314718382434647,0.0563664433442119,-0.0633222245154213,0.0316055434153495,0.0567390435725156
"2002-02-28",-0.0184474788437085,0.00445822904602276,-0.0580296206753264,0.0309249056598603,0.000261119901047505
"2002-03-31",-0.0158563726806444,0.00667746398808877,-0.0521699521380784,0.0301713424305687,-6.11527472548128e-05
"2002-04-30",-0.085659932887628,-0.031457338525664,-0.0464993051665482,0.0294420876925446,-0.0316968287288911
"2002-05-31",-0.092084344217877,-0.0195089494075546,-0.0406396366293002,0.028688524463253,-0.0358306483743512
