Date,Value
01/02/2016,6097.100098
01/03/2016,6174.899902
01/04/2016,6241.899902
01/05/2016,6230.799805
01/06/2016,6504.299805
01/07/2016,6724.399902
01/08/2016,6781.5
01/09/2016,6899.299805
01/10/2016,6954.200195
01/11/2016,6783.799805
01/12/2016,7142.799805
01/01/2017,7099.200195
01/02/2017,7263.399902
01/03/2017,7322.899902
01/04/2017,7203.899902
01/05/2017,7520
01/06/2017,7312.700195
01/07/2017,7372
01/08/2017,7430.600098
01/09/2017,7372.799805
01/10/2017,7493.100098
01/11/2017,7326.700195
01/12/2017,7687.799805
01/01/2018,7533.600098
01/02/2018,7231.899902
01/03/2018,7056.600098
01/04/2018,7509.299805
01/05/2018,7678.200195
01/06/2018,7636.899902
01/07/2018,7748.799805
01/08/2018,7432.399902
01/09/2018,7510.200195
01/10/2018,7128.100098
01/11/2018,6980.200195
01/12/2018,6728.100098
01/01/2019,6968.899902
01/02/2019,7074.700195
01/03/2019,7279.200195
01/04/2019,7418.200195
01/05/2019,7161.700195
01/06/2019,7425.600098
01/07/2019,7586.799805
01/08/2019,7207.200195
01/09/2019,7408.200195
01/10/2019,7248.399902
01/11/2019,7346.5
01/12/2019,7542.399902
01/01/2020,7286
01/02/2020,7017.899902
