"Yield:FTSE","Inflation:FTSE","GDP:FTSE","RF_rate:FTSE","Inflation:Yield","GDP:Yield","RF_rate:Yield","GDP:Inflation","RF_rate:Inflation","RF_rate:GDP"
0.0124386459337159,-0.0351929392164184,-0.101052274831447,-0.0112439383039849,-0.0639197843803818,-0.12394608578979,0.824511115701726,0.164752529988156,-0.0535477487444949,-0.138515344420363
0.0974508333799363,-0.0676913323560645,-0.085185267689325,0.0645134732612266,-0.0228160285627444,-0.0315082739588381,0.799020385589869,0.161501039538812,-0.00274239240330525,-0.0712307986524737
0.11803957469858,-0.128558262486537,-0.128209521669859,-0.00880779592736482,-0.0691011451971643,-0.108381375895141,0.773525413588355,0.10820683153453,-0.00155662786769756,-0.130212207000761
0.11805297201903,-0.0848090526366781,-0.118017790878835,0.0559370893892819,-0.0392731591788735,-0.0999923573998709,0.793778039741629,0.147705438134228,0.0015944869603557,-0.12046576893705
0.121957521570461,-0.0837619408775563,-0.112567001557401,0.04031404886622,-0.0362380516217192,-0.084750348155534,0.783497719785399,0.158439703297621,0.000785000549156037,-0.11342793928084
0.118979668540802,-0.0311538591771382,-0.136380176560904,0.0696488787996658,0.00231076583234729,-0.0793272447054963,0.79384355011517,0.116504523379012,0.00713528962197375,-0.118802197738501
0.100512820820329,0.0422873639255222,-0.104273034429005,0.106374220259961,0.009136684706911,-0.0971937818024548,0.791623034772393,0.0737920391304707,0.0349797808380513,-0.111076634930023
0.109796556394324,-0.0704898918854182,-0.142658504993911,0.116990610801136,-0.0276384856884781,-0.077323540376679,0.801518267978371,0.0851735040079591,0.00199228353491339,-0.110516192303234
0.0880209483879352,-0.0326495419275798,-0.0725586638738782,0.0768753078837583,-0.0361061762809391,-0.110570873417073,0.79725364543202,0.141553746210804,-0.0168150476842492,-0.120533818662564
0.121387719935563,-0.082285288761584,-0.0671153813095311,0.130321127142431,-0.00678834065351598,-0.0863713841957958,0.787171742444334,0.160435113275112,0.0159121956922425,-0.089242673081132
0.171453962431218,-0.020256127758012,-0.0588868161600217,0.146618794590737,0.00415915237669219,-0.0571763361882755,0.790624077932592,0.150994904571488,0.029678019724469,-0.078386982114118
0.138575709905403,-0.0670189744272228,-0.0980262716475863,0.113326585193286,-0.0123302751511817,-0.0585100221033182,0.80073149066549,0.0559437294760631,0.0042903239646138,-0.0820416173115226
