"Yield:FTSE","Inflation:FTSE","GDP:FTSE","RF_rate:FTSE","Inflation:Yield","GDP:Yield","RF_rate:Yield","GDP:Inflation","RF_rate:Inflation","RF_rate:GDP"
-0.00188944299971576,-0.0657653483289477,-0.0918312937822887,0.0242461812064832,0.0197677326331106,-0.0414747627268678,0.824737254679571,0.268975141298138,0.0539853043388818,-0.0977176692736167
0.0607061211305965,-0.118502405774196,-0.208923736747596,-0.00541921667252555,-0.061645207162443,-0.219509808853877,0.781134066281805,0.361828490500262,0.043305091447801,0.0277317906775229
0.0883777067119699,-0.099099024095062,-0.177267669992953,-0.012114481987989,-0.0332759636992691,-0.192588642076809,0.776908571554422,0.264537151691395,0.0592725064577653,0.0183979679875739
0.0901015551837816,-0.0987799586562848,-0.178132853159836,-0.0263279128129181,-0.0311035596860093,-0.192515067479933,0.780431613841445,0.255480066851733,0.0660087616236297,0.0135511633251431
0.0968139212820302,-0.0965246032248014,-0.173461408792014,-0.013636595384362,-0.0258687036677193,-0.18337008650157,0.778813500842528,0.240147642921882,0.0668941513367154,0.00928269613916664
0.102900861336534,-0.0907829620390535,-0.157797374013952,0.0365665350833977,-0.0284720147951144,-0.164374681577387,0.786189351374289,0.280407437143073,0.0312526374910962,-0.000629591840910144
0.0818137673111748,-0.0760168624937454,-0.140118509059844,0.0439804609195883,-0.0105824910296031,-0.14785088473367,0.793135961015791,0.251884610432991,0.0361046681599701,-0.016360944739526
0.0891195532236537,-0.0727476408040477,-0.135864212349568,0.0599441068851035,-0.00799743508962728,-0.140953949979996,0.79548975843179,0.251882975047037,0.0333508019800538,-0.017798015804212
0.0741565240167675,-0.0664689362136494,-0.125389805597541,0.0534937999585558,-0.00586204105382692,-0.138724370713336,0.793294301672907,0.245145347424158,0.0428450733488271,-0.0100832131720234
0.114550636561183,-0.0601517124030511,-0.111656698650698,0.116588934260757,0.0127727426662756,-0.103656367725626,0.805533189846464,0.180013776353329,0.045804676215584,-0.066322562508641
0.146804652406979,-0.05956404894483,-0.110589357587471,0.126483459915895,0.0131549416028877,-0.102456648934196,0.804976402470775,0.184271779670998,0.0438389162422307,-0.072847096187663
0.152306017088301,-0.0606848524871756,-0.109504141796337,0.133916017437596,0.0127884816159276,-0.0968752036722484,0.804654065684862,0.171867637439408,0.0369395191988256,-0.0720495010544255
0.133399026604751,-0.0611505429651865,-0.11153707290637,0.170104101777149,0.00735365280395057,-0.11000639793208,0.817293100690832,0.216149712736202,0.0386661688434553,-0.0336030681708303
