"Yield:FTSE","Inflation:FTSE","GDP:FTSE","RF_rate:FTSE","Inflation:Yield","GDP:Yield","RF_rate:Yield","GDP:Inflation","RF_rate:Inflation","RF_rate:GDP"
-0.338067459187524,0.270642548504908,0.265892571400968,-0.29973533199328,-0.334483149384975,-0.280264126761173,0.911863063056219,0.499114901136527,-0.346391853927476,-0.267088060165667
-0.117586636734033,0.313612882143294,0.31459913795463,-0.260094893842881,-0.130033703218282,-0.0612336685760282,0.7964084584716,0.493699834356693,-0.328640457600228,-0.248293119688576
-0.0375478310541646,-0.0739577657173371,-0.0942754622457222,-0.102921280872046,-0.0987438288186927,-0.0278571262447944,0.821234034644446,0.495063583557766,-0.241203573065376,-0.152479461246488
-0.0029820625365504,-0.129033676279653,-0.150670471787233,-0.0858789090277982,-0.0649528373749682,0.00814631855605843,0.828405036618908,0.495727620239209,-0.0983288457745328,-0.000752345591824849
0.0575494053629145,-0.0338768685740883,-0.0481187597963099,-0.00842235552818861,0.0644233878623688,0.142549512280439,0.852323502749482,0.496897918896366,0.0211843807359761,0.123877703028336
-0.0260983749505471,-0.0570190061420647,-0.0772136434257361,-0.0884001785746253,0.0670597723859819,0.104752998411193,0.843189393412729,0.537573374757012,-0.0263008714483522,0.0481887314434187
-0.0915701072459661,0.18825188280481,0.173224747964164,-0.0835002862545797,-0.00519614481316388,0.0310728724660023,0.846699274102622,0.544106329815638,-0.0521698208980851,0.0206404022741399
0.0317461624200488,0.114345602217271,0.111301139486892,0.0380740061070257,-0.203072869719771,-0.148182998870643,0.89189475393271,0.50820823712464,-0.215583923717588,-0.136399802446685
-0.115514390043146,0.329291289385931,0.34071719203838,-0.0131690418978704,-0.23741838446126,-0.181344958039944,0.875986886128792,0.512819029362371,-0.187110494719262,-0.102209991497857
0.0754359753596914,0.337600334159781,0.348302167132448,0.192783991648427,0.0292219659697516,0.0982242327942664,0.881130460181996,0.516749584130516,0.156000568492833,0.242943829816838
0.337331407617188,0.396078490496571,0.409895010950822,0.363939108449198,0.25490247188184,0.326715207540213,0.90817141153549,0.518246809350385,0.289622281538405,0.380200897660084
0.271356458188178,0.103878945337439,0.0989905693588458,0.325486568229648,0.140318253397889,0.212009809907884,0.891067115002379,0.516925527793591,0.0974491060582257,0.183597537701809
