Date,Log-return_x,Log-return_y,Log-return_x,Log-return_y
1948-01-31,,,0.032783425808411114,
1948-02-29,,,0.03279850930043553,
1948-03-31,,,0.032814633033289214,
1948-04-30,,,0.03283023664572827,
1948-05-31,,,0.032846360378581956,
1948-06-30,,,0.03286196399102101,
1948-07-31,,,0.0328780877238747,
1948-08-31,,,0.032894211456728384,
1948-09-30,,,0.03290981506916744,
1948-10-31,,,0.032925938802021125,
1948-11-30,,,0.03294154241446018,
1948-12-31,,,0.032957666147313866,
1949-01-31,,,0.03324585142026347,
1949-02-28,,,0.033514338895962774,
1949-03-31,,,0.03381159288691558,
1949-04-30,,,0.034099258039450554,
1949-05-31,,,0.03439651203040336,
1949-06-30,,,0.03468417718293833,
1949-07-31,,,0.03498143117389113,
1949-08-31,,,0.035278685164843934,
1949-09-30,,,0.035566350317378904,
1949-10-31,,,0.03586360430833171,
1949-11-30,,,0.03615126946086668,
1949-12-31,,,0.03644852345181948,
1950-01-31,,,0.0346991124421346,
1950-02-28,,,0.033057379250572054,
1950-03-31,,,0.031239746074199246,
1950-04-30,,,0.02948074622609653,
1950-05-31,,,0.027663113049723718,
1950-06-30,,,0.025904113201620997,
1950-07-31,,,0.02408648002524819,
1950-08-31,,,0.02226884684887538,
1950-09-30,,,0.02050984700077266,
1950-10-31,,,0.01869221382439985,
1950-11-30,,,0.01693321397629713,
1950-12-31,,,0.015115580799924321,
1951-01-31,,,0.01827156905502779,
1951-02-28,,,0.021271882532843112,
1951-03-31,,,0.024593658168995794,
1951-04-30,,,0.027808279752369353,
1951-05-31,,,0.03113005538852203,
1951-06-30,,,0.03434467697189559,
1951-07-31,,,0.03766645260804827,
1951-08-31,,,0.04098822824420095,
1951-09-30,,,0.04420284982757451,
1951-10-31,,,0.04752462546372719,
1951-11-30,,,0.05073924704710075,
1951-12-31,,,0.054061022683253426,
1952-01-31,,,0.05322554261096089,
1952-02-29,,,0.05231432962339162,
1952-03-31,,,0.051340274360817575,
1952-04-30,,,0.050397640235745916,
1952-05-31,,,0.049423584973171876,
1952-06-30,,,0.04848095084810022,
1952-07-31,,,0.04750689558552617,
1952-08-31,,,0.04653284032295213,
1952-09-30,,,0.04559020619788047,
1952-10-31,,,0.04461615093530642,
1952-11-30,,,0.04367351681023477,
1952-12-31,,,0.04269946154766072,
1953-01-31,,,0.04231138338448813,
1953-02-28,,,0.041978503493862604,
1953-03-31,,,0.041609957900670055,
1953-04-30,,,0.04125330087499985,
1953-05-31,,,0.0408847552818073,
1953-06-30,,,0.040528098256137096,
1953-07-31,,,0.04015955266294455,
1953-08-31,,,0.039791007069752,
1953-09-30,,,0.039434350044081794,
1953-10-31,,,0.03906580445088925,
1953-11-30,,,0.03870914742521904,
1953-12-31,,,0.0383406018320265,
1954-01-31,,,0.03656036851306826,
1954-02-28,,,0.03490991341172808,
1954-03-31,,,0.033082623835244324,
1954-04-30,,,0.031314279083808426,
1954-05-31,,,0.029486989507324667,
1954-06-30,,,0.02771864475588877,
1954-07-31,,,0.02589135517940501,
1954-08-31,,,0.02406406560292125,
1954-09-30,,,0.022295720851485352,
1954-10-31,,,0.02046843127500159,
1954-11-30,,,0.018700086523565692,
1954-12-31,,,0.016872796947081933,
1955-01-31,,,0.017049823145576515,
1955-02-28,,,0.017270062767549464,
1955-03-31,,,0.01751389949187666,
1955-04-30,,,0.017749870515419108,
1955-05-31,,,0.017993707239746304,
1955-06-30,,,0.01822967826328875,
1955-07-31,,,0.018473514987615944,
1955-08-31,,,0.01871735171194314,
1955-09-30,,,0.018953322735485587,
1955-10-31,,,0.019197159459812783,
1955-11-30,,,0.01943313048335523,
1955-12-31,,,0.019676967207682423,
1956-01-31,,,0.019175477891217117,
1956-02-29,,,0.01868310137454206,
1956-03-31,,,0.018156767856717004,
1956-04-30,,,0.01764741283946695,
1956-05-31,,,0.01712107932164189,
1956-06-30,,,0.016611724304391836,
1956-07-31,,,0.016085390786566775,
1956-08-31,,,0.01555905726874172,
1956-09-30,,,0.015049702251491662,
1956-10-31,,,0.014523368733666605,
1956-11-30,,,0.01401401371641655,
1956-12-31,,,0.013487680198591492,
1957-01-31,,,0.015719851013796006,
1957-02-28,,,0.017819057041856885,
1957-03-31,,,0.020143178001495714,
1957-04-30,,,0.02239232731727523,
1957-05-31,,,0.024716448276914063,
1957-06-30,,,0.026965597592693576,
1957-07-31,,,0.029289718552332405,
1957-08-31,,,0.031613839511971234,
1957-09-30,,,0.033862988827750753,
1957-10-31,,,0.03618710978738958,
1957-11-30,,,0.0384362591031691,
1957-12-31,,,0.040760380062807924,
1958-01-31,,,0.04253880924345939,
1958-02-28,,,0.04412870294446539,
1958-03-31,,,0.045888942399150597,
1958-04-30,,,0.04759239993594274,
1958-05-31,,,0.04935263939062795,
1958-06-30,,,0.051056096927420094,
1958-07-31,,,0.05281633638210531,
1958-08-31,,,0.05457657583679052,
1958-09-30,,,0.05628003337358266,
1958-10-31,,,0.058040272828267875,
1958-11-30,,,0.05974373036506002,
1958-12-31,,,0.06150396981974523,
1959-01-31,,,0.058691763403016316,
1959-02-28,,,0.05601404095736912,
1959-03-31,,,0.05304941967825974,
1959-04-30,,,0.05018043134363775,
1959-05-31,,,0.04721581006452836,
1959-06-30,,,0.04434682172990637,
1959-07-31,,,0.041382200450796984,
1959-08-31,,,0.038417579171687595,
1959-09-30,,,0.03554859083706561,
1959-10-31,,,0.03258396955795622,
1959-11-30,,,0.029714981223334234,
1959-12-31,,,0.026750359944224845,
1960-01-31,,,0.025365572657337104,
